SEX ,BT ,SPINFINE ,yWool ,yearlingAGE ,AdultAge   ,Dag  ,CCov ,BDWR ,Pregnancy ,BCS ,Weight  ,DryWt ,Rain ,Temp ,AdultWool
2,3,34.3,3.5,291,380,1,2,1,2,4,54.5,0.99,1.09,11.11,6.7
2,2,16.9,2.5,319,343,2,4,3,2,2.7,41.1,1.98,1.28,9.8,5.8
2,1,15.4,2.7,378,274,2,2,2,1,3,43.5,0.93,1.58,6.09,2.9
2,1,18.3,4.25,349,346,3,4,1,2,3.5,52.1,1.32,1.84,8.56,5.35
1,1,18.1,2.8,321,375,2,3,2,1,2.5,33.6,2.17,2.52,8.19,3.9
2,1,19.3,2.6,294,376,1,2,2,2,4,61.5,1.78,2.59,8.48,3.4
2,2,19.3,2.66,327,349,1,2,2,0,3,38.2,1.18,1.52,10.82,3.909
2,2,23.2,4,369,355,2,3,2,2,3.7,55.5,1.34,1.83,8.27,3.5
2,1,15.9,4.05,354,346,3,4,2,0,3.3,46.3,1.32,1.84,8.56,5.2
2,1,17.5,5.2,420,359,2,2,1,1,2.5,61.4,1.91,1.57,9.96,4.4
2,2,27.3,3.2,399,273,1,1,1,2,4,43.2,0.96,1.18,6.14,3.6
1,2,15.5,3.04,322,366,1,5,3,2,2.5,23,0.99,1.07,10.15,5.4
2,1,19,2.9,323,375,4,2,2,2,2,32.4,2.17,2.52,8.19,3.6
2,1,13.8,1.99,320,366,1,5,2,1,3,21.8,0.99,1.07,10.15,4.59
2,2,17.1,3,329,374,2,4,2,1,3.5,49.7,1.51,1.63,11.56,4.7
